name,lat,lng
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL,13.368497,74.784726
MANIPAL ,13.368497,74.784726
MANIPAL ,13.368497,74.784726
MANIPAL LAKE,13.342022,74.78512
MANCHI ,13.332992,74.77533
MANUR,13.53907,74.704319
MARGOLI,12.87888,74.864433
MARIGUDY,13.00019,74.79646
MARVANTHE ,13.708571,74.642157
MARVANTHE BEACH,13.704803,74.642594
MARVANTHE BEACH,13.704803,74.642594
MATTAR,13.900131,5.576289
MATTU BEACH,13.273584,74.724931
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MGM COLLEGE,13.35334,74.7907
MIT CAMPUS,13.352691,74.792726
MIT CAMPUS,13.352691,74.792726
MIT CAMPUS,13.352691,74.792726
MOODUBELLE,13.274685,74.826143
MOODUBELLE,13.274685,74.826143
MOODUBELLE,13.274685,74.826143
MOODUBELLE,13.274685,74.826143
MOODUBELLE ,13.274685,74.826143
MOODUBELLE ,13.274685,74.826143
MUDDARANGADI,13.176854,74.825097
MUNIYAAL,13.336212,74.786998
NAGUR,13.784704,74.639184
NALKUR,13.475519,74.912562
NALKUR,13.475519,74.912562
NALLUR,13.475519,74.912562
MGM COLLEGE ,13.35334,74.7907
NAVUNDA,13.747645,74.641197
NAVUNDA,13.747645,74.641197
NERALAKATTE,13.672759,74.780776
NITTE,13.180792,74.94023
NITTE,13.180792,74.94023
ONTHIBETTU,13.348331,4.849234
ONTHIBETTU,13.348331,4.849234
ONTHIBETTU,13.348331,4.849234
PADUKERE,13.518749, 74.689774
PALLI,13.248564,74.871922
PANIYOORU,13.189547,74.784062
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
